round,malicious_pct,run_id,global_accuracy
1,40.0,4,0.8611
2,40.0,4,0.8583
3,40.0,4,0.9139
4,40.0,4,0.8944
5,40.0,4,0.9028
6,40.0,4,0.9333
7,40.0,4,0.9056
8,40.0,4,0.9250
9,40.0,4,0.8972
10,40.0,4,0.8861
11,40.0,4,0.9111
12,40.0,4,0.9083
13,40.0,4,0.9278
14,40.0,4,0.8944
15,40.0,4,0.8833
16,40.0,4,0.9028
17,40.0,4,0.9278
18,40.0,4,0.9111
19,40.0,4,0.9250
20,40.0,4,0.9111
21,40.0,4,0.9000
22,40.0,4,0.9222
23,40.0,4,0.9222
24,40.0,4,0.9056
25,40.0,4,0.9222
26,40.0,4,0.9194
27,40.0,4,0.9194
28,40.0,4,0.9111
29,40.0,4,0.8944
30,40.0,4,0.9083
31,40.0,4,0.9167
32,40.0,4,0.9056
33,40.0,4,0.9111
34,40.0,4,0.9028
35,40.0,4,0.9083
36,40.0,4,0.8972
37,40.0,4,0.9250
38,40.0,4,0.8944
39,40.0,4,0.8944
40,40.0,4,0.8917
