round,clients_per_round,global_accuracy,num_participated,total_clients,participating_cids
1,6,0.8250,6,10,"[0, 1, 2, 4, 8, 9]"
2,6,0.8556,6,10,"[0, 1, 2, 6, 7, 9]"
3,6,0.8889,6,10,"[0, 1, 4, 5, 7, 8]"
4,6,0.8167,6,10,"[0, 1, 2, 4, 6, 7]"
5,6,0.8667,6,10,"[2, 4, 5, 6, 8, 9]"
6,6,0.8250,6,10,"[0, 2, 3, 5, 6, 9]"
7,6,0.8861,6,10,"[0, 2, 5, 7, 8, 9]"
8,6,0.8417,6,10,"[1, 3, 4, 6, 7, 8]"
9,6,0.8694,6,10,"[1, 3, 4, 6, 8, 9]"
10,6,0.8167,6,10,"[1, 3, 4, 6, 7, 8]"
11,6,0.8694,6,10,"[1, 2, 6, 7, 8, 9]"
12,6,0.7944,6,10,"[1, 3, 4, 5, 6, 7]"
13,6,0.8750,6,10,"[0, 1, 3, 4, 8, 9]"
14,6,0.9056,6,10,"[2, 4, 6, 7, 8, 9]"
15,6,0.9111,6,10,"[1, 3, 5, 7, 8, 9]"
16,6,0.9167,6,10,"[1, 2, 3, 4, 5, 7]"
17,6,0.9111,6,10,"[0, 3, 4, 6, 7, 8]"
18,6,0.9250,6,10,"[0, 2, 3, 4, 6, 9]"
19,6,0.9250,6,10,"[1, 2, 3, 6, 7, 8]"
20,6,0.9222,6,10,"[0, 1, 3, 4, 6, 7]"
21,6,0.9333,6,10,"[0, 1, 2, 3, 4, 5]"
22,6,0.9222,6,10,"[0, 1, 4, 5, 7, 9]"
23,6,0.9250,6,10,"[1, 2, 4, 5, 6, 7]"
24,6,0.9250,6,10,"[3, 4, 6, 7, 8, 9]"
25,6,0.9361,6,10,"[0, 1, 3, 4, 6, 9]"
26,6,0.9250,6,10,"[0, 1, 4, 5, 7, 8]"
27,6,0.9222,6,10,"[2, 4, 5, 6, 7, 8]"
28,6,0.9361,6,10,"[0, 1, 3, 5, 6, 8]"
29,6,0.9333,6,10,"[0, 1, 3, 6, 7, 9]"
30,6,0.9333,6,10,"[0, 2, 3, 4, 5, 7]"
31,6,0.9333,6,10,"[0, 1, 3, 4, 5, 9]"
32,6,0.9333,6,10,"[1, 2, 4, 6, 7, 8]"
33,6,0.9333,6,10,"[0, 2, 3, 7, 8, 9]"
34,6,0.9250,6,10,"[0, 1, 4, 5, 6, 7]"
35,6,0.9306,6,10,"[0, 4, 5, 7, 8, 9]"
36,6,0.9194,6,10,"[0, 2, 6, 7, 8, 9]"
37,6,0.9250,6,10,"[0, 2, 3, 6, 7, 9]"
38,6,0.9278,6,10,"[3, 4, 5, 7, 8, 9]"
39,6,0.9306,6,10,"[0, 1, 3, 4, 5, 7]"
40,6,0.9333,6,10,"[0, 2, 3, 4, 5, 9]"
