round,dropout_count,global_accuracy,num_participated,num_available,participating_cids
1,4,0.6139,4,8,"[3, 4, 5, 6]"
2,4,0.8750,4,8,"[3, 4, 5, 6]"
3,4,0.8056,4,8,"[3, 4, 5, 6]"
4,4,0.8806,4,8,"[3, 4, 5, 6]"
5,4,0.7889,4,8,"[3, 4, 5, 6]"
6,4,0.8306,4,8,"[3, 4, 5, 6]"
7,4,0.8111,4,8,"[3, 4, 5, 6]"
8,4,0.8194,4,8,"[3, 4, 5, 6]"
9,4,0.8167,4,8,"[3, 4, 5, 6]"
10,4,0.8250,4,8,"[3, 4, 5, 6]"
11,4,0.8944,4,8,"[3, 4, 5, 6]"
12,4,0.8917,4,8,"[3, 4, 5, 6]"
13,4,0.9194,4,8,"[3, 4, 5, 6]"
14,4,0.8972,4,8,"[3, 4, 5, 6]"
15,4,0.9111,4,8,"[3, 4, 5, 6]"
16,4,0.9056,4,8,"[3, 4, 5, 6]"
17,4,0.9111,4,8,"[3, 4, 5, 6]"
18,4,0.9028,4,8,"[3, 4, 5, 6]"
19,4,0.9167,4,8,"[3, 4, 5, 6]"
20,4,0.9083,4,8,"[3, 4, 5, 6]"
21,4,0.9083,4,8,"[3, 4, 5, 6]"
22,4,0.9139,4,8,"[3, 4, 5, 6]"
23,4,0.9139,4,8,"[3, 4, 5, 6]"
24,4,0.9167,4,8,"[3, 4, 5, 6]"
25,4,0.9167,4,8,"[3, 4, 5, 6]"
26,4,0.9194,4,8,"[3, 4, 5, 6]"
27,4,0.9167,4,8,"[3, 4, 5, 6]"
28,4,0.9194,4,8,"[3, 4, 5, 6]"
29,4,0.9222,4,8,"[3, 4, 5, 6]"
30,4,0.9250,4,8,"[3, 4, 5, 6]"
31,4,0.9222,4,8,"[3, 4, 5, 6]"
32,4,0.9222,4,8,"[3, 4, 5, 6]"
33,4,0.9222,4,8,"[3, 4, 5, 6]"
34,4,0.9222,4,8,"[3, 4, 5, 6]"
35,4,0.9222,4,8,"[3, 4, 5, 6]"
36,4,0.9222,4,8,"[3, 4, 5, 6]"
37,4,0.9222,4,8,"[3, 4, 5, 6]"
38,4,0.9222,4,8,"[3, 4, 5, 6]"
39,4,0.9222,4,8,"[3, 4, 5, 6]"
40,4,0.9222,4,8,"[3, 4, 5, 6]"
